block;type;material;processing;categories;biome
mangrove_fence;fence;wood;processed;mangrove;
mangrove_log;log;wood;natural;mangrove;
mangrove_fence_gate;gate;wood;processed;mangrove;
mangrove_door;door;wood;processed;mangrove;
mangrove_trapdoor;trapdoor;wood;processed;mangrove;
cherry_planks;natural;wood;processed;cherry;
cherry_stairs;stairs;wood;processed;cherry;
cherry_slab;slab;wood;processed;cherry;
cherry_fence;fence;wood;processed;cherry;
cherry_log;log;wood;natural;cherry;
cherry_fence_gate;gate;wood;processed;cherry;
cherry_door;door;wood;processed;cherry;
cherry_trapdoor;trapdoor;wood;processed;cherry;
bamboo_planks;natural;wood;processed;bamboo;
bamboo_stairs;stairs;wood;processed;bamboo;
bamboo_slab;slab;wood;processed;bamboo;
bamboo_mosaic;natural;wood;processed;bamboo;
bamboo_mosaic_stairs;stairs;wood;processed;bamboo;
bamboo_mosaic_slab;slab;wood;processed;bamboo;
bamboo_fence;fence;wood;processed;bamboo;
bamboo_block;log;wood;natural;bamboo;
bamboo_fence_gate;gate;wood;processed;bamboo;
bamboo_door;door;wood;processed;bamboo;
bamboo_trapdoor;trapdoor;wood;processed;bamboo;
crimson_planks;natural;wood;processed;crimson;
crimson_stairs;stairs;wood;processed;crimson;
crimson_slab;slab;wood;processed;crimson;
crimson_fence;fence;wood;processed;crimson;
crimson_stem;log;wood;natural;crimson;
crimson_fence_gate;gate;wood;processed;crimson;
crimson_door;door;wood;processed;crimson;
crimson_trapdoor;trapdoor;wood;processed;crimson;
warped_planks;natural;wood;processed;warped;
warped_stairs;stairs;wood;processed;warped;
warped_slab;slab;wood;processed;warped;
warped_fence;fence;wood;processed;warped;
warped_stem;log;wood;natural;warped;
warped_fence_gate;gate;wood;processed;warped;
warped_door;door;wood;processed;warped;
warped_trapdoor;trapdoor;wood;processed;warped;
stone;natural;stone;natural;stone;
stone_stairs;stairs;stone;natural;stone;
stone_slab;slab;stone;natural;stone;
cobblestone;natural;stone;natural;stone;
cobblestone_stairs;stairs;stone;natural;stone;
cobblestone_slab;slab;stone;natural;stone;
cobblestone_wall;fence;stone;natural;stone;
mossy_cobblestone;natural;stone;natural;stone;
mossy_cobblestone_stairs;stairs;stone;natural;stone;
mossy_cobblestone_slab;slab;stone;natural;stone;
mossy_cobblestone_wall;fence;stone;natural;stone;
smooth_stone;natural;stone;polished;stone;
smooth_stone_slab;slab;stone;polished;stone;
stone_bricks;natural;stone;bricks;stone;
stone_brick_stairs;stairs;stone;bricks;stone;
stone_brick_slab;slab;stone;bricks;stone;
stone_brick_wall;fence;stone;bricks;stone;
chiseled_stone_bricks;chiseled;stone;bricks;stone;
granite;natural;stone;natural;granite;
granite_stairs;stairs;stone;natural;granite;
granite_slab;slab;stone;natural;granite;
granite_wall;fence;stone;natural;granite;
polished_granite;natural;stone;polished;granite;
polished_granite_stairs;stairs;stone;polished;granite;
polished_granite_slab;slab;stone;polished;granite;
diorite;natural;stone;natural;diorite;
diorite_stairs;stairs;stone;natural;diorite;
diorite_slab;slab;stone;natural;diorite;
diorite_wall;fence;stone;natural;diorite;
polished_diorite;natural;stone;polished;diorite;
polished_diorite_stairs;stairs;stone;polished;diorite;
polished_diorite_slab;slab;stone;polished;diorite;
andesite;natural;stone;natural;andesite;
andesite_stairs;stairs;stone;natural;andesite;
andesite_slab;slab;stone;natural;andesite;
andesite_wall;fence;stone;natural;andesite;
polished_andesite;natural;stone;polished;andesite;
polished_andesite_stairs;stairs;stone;polished;andesite;
polished_andesite_slab;slab;stone;polished;andesite;
cobbled_deepslate;natural;stone;natural;deepslate;
cobbled_deepslate_stairs;stairs;stone;natural;deepslate;
cobbled_deepslate_slab;slab;stone;natural;deepslate;
cobbled_deepslate_wall;fence;stone;natural;deepslate;
chiseled_deepslate;chiseled;stone;bricks;deepslate;
polished_deepslate;natural;stone;polished;deepslate;
polished_deepslate_stairs;stairs;stone;polished;deepslate;
polished_deepslate_slab;slab;stone;polished;deepslate;
polished_deepslate_wall;fence;stone;polished;deepslate;
deepslate_bricks;natural;stone;bricks;deepslate;
deepslate_brick_stairs;stairs;stone;bricks;deepslate;
deepslate_brick_slab;slab;stone;bricks;deepslate;
deepslate_brick_wall;fence;stone;bricks;deepslate;
deepslate_tiles;natural;stone;bricks;deepslate;
deepslate_tile_stairs;stairs;stone;bricks;deepslate;
deepslate_tile_slab;slab;stone;bricks;deepslate;
deepslate_tile_wall;fence;stone;bricks;deepslate;
tuff;natural;stone;natural;tuff;
tuff_stairs;stairs;stone;natural;tuff;
tuff_slab;slab;stone;natural;tuff;
tuff_wall;fence;stone;natural;tuff;
chiseled_tuff;chiseled;stone;bricks;tuff;
polished_tuff;natural;stone;polished;tuff;
polished_tuff_stairs;stairs;stone;polished;tuff;
polished_tuff_slab;slab;stone;polished;tuff;
polished_tuff_wall;fence;stone;polished;tuff;
tuff_bricks;natural;stone;bricks;tuff;
tuff_brick_stairs;stairs;stone;bricks;tuff;
tuff_brick_slab;slab;stone;bricks;tuff;
tuff_brick_wall;fence;stone;bricks;tuff;
chiseled_tuff_bricks;chiseled;stone;bricks;tuff;
bricks;natural;stone;bricks;bricks;
brick_stairs;stairs;stone;bricks;bricks;
brick_slab;slab;stone;bricks;bricks;
brick_wall;fence;stone;bricks;bricks;
mud_bricks;natural;stone;bricks;mud_bricks;
mud_brick_stairs;stairs;stone;bricks;mud_bricks;
mud_brick_slab;slab;stone;bricks;mud_bricks;
mud_brick_wall;fence;stone;bricks;mud_bricks;
resin_bricks;natural;stone;bricks;resin_bricks;
resin_brick_stairs;stairs;stone;bricks;resin_bricks;
resin_brick_slab;slab;stone;bricks;resin_bricks;
resin_brick_wall;fence;stone;bricks;resin_bricks;
chiseled_resin_bricks;chiseled;stone;bricks;resin_bricks;
sandstone;natural;stone;natural;sandstone;
sandstone_stairs;stairs;stone;natural;sandstone;
sandstone_slab;slab;stone;natural;sandstone;
sandstone_wall;fence;stone;natural;sandstone;
chiseled_sandstone;chiseled;stone;natural;sandstone;
smooth_sandstone;natural;stone;polished;sandstone;
smooth_sandstone_stairs;stairs;stone;polished;sandstone;
smooth_sandstone_slab;slab;stone;polished;sandstone;
cut_sandstone;natural;stone;polished;sandstone;
cut_sandstone_slab;slab;stone;polished;sandstone;
red_sandstone;natural;stone;natural;sandstone;
red_sandstone_stairs;stairs;stone;natural;sandstone;
red_sandstone_slab;slab;stone;natural;sandstone;
red_sandstone_wall;fence;stone;natural;sandstone;
chiseled_red_sandstone;chiseled;stone;natural;sandstone;
smooth_red_sandstone;natural;stone;polished;sandstone;
smooth_red_sandstone_stairs;stairs;stone;polished;sandstone;
smooth_red_sandstone_slab;slab;stone;polished;sandstone;
cut_red_sandstone;natural;stone;polished;sandstone;
cut_red_sandstone_slab;slab;stone;polished;sandstone;
prismarine;natural;stone;natural;prismarine;
prismarine_stairs;stairs;stone;natural;prismarine;
prismarine_slab;slab;stone;natural;prismarine;
prismarine_wall;fence;stone;natural;prismarine;
prismarine_bricks;natural;stone;bricks;prismarine;
prismarine_brick_stairs;stairs;stone;bricks;prismarine;
prismarine_brick_slab;slab;stone;bricks;prismarine;
dark_prismarine;natural;stone;bricks;prismarine;
dark_prismarine_stairs;stairs;stone;bricks;prismarine;
dark_prismarine_slab;slab;stone;bricks;prismarine;
nether_bricks;natural;stone;bricks;nether_bricks;
nether_brick_stairs;stairs;stone;bricks;nether_bricks;
nether_brick_slab;slab;stone;bricks;nether_bricks;
nether_brick_wall;fence;stone;bricks;nether_bricks;
chiseled_nether_bricks;chiseled;stone;bricks;nether_bricks;
red_nether_bricks;natural;stone;bricks;nether_bricks;
red_nether_brick_stairs;stairs;stone;bricks;nether_bricks;
red_nether_brick_slab;slab;stone;bricks;nether_bricks;
red_nether_brick_wall;fence;stone;bricks;nether_bricks;
basalt;natural;stone;natural;basalt;
smooth_basalt;natural;stone;polished;basalt;
polished_basalt;log;stone;polished;basalt;
blackstone;natural;stone;natural;blackstone;
blackstone_stairs;stairs;stone;natural;blackstone;
blackstone_slab;slab;stone;natural;blackstone;
blackstone_wall;fence;stone;natural;blackstone;
polished_blackstone;natural;stone;polished;blackstone;
polished_blackstone_stairs;stairs;stone;polished;blackstone;
polished_blackstone_slab;slab;stone;polished;blackstone;
polished_blackstone_wall;fence;stone;polished;blackstone;
chiseled_polished_blackstone;chiseled;;polished;blackstone;
polished_blackstone_bricks;natural;stone;bricks;blackstone;
polished_blackstone_brick_stairs;stairs;stone;bricks;blackstone;
polished_blackstone_brick_slab;slab;stone;bricks;blackstone;
polished_blackstone_brick_wall;fence;stone;bricks;blackstone;
end_stone_bricks;natural;stone;bricks;end_stone;
end_stone_brick_stairs;stairs;stone;bricks;end_stone;
end_stone_brick_slab;slab;stone;bricks;end_stone;
end_stone_brick_wall;fence;stone;bricks;end_stone;
purpur_block;natural;stone;bricks;purpur;
purpur_stairs;stairs;stone;bricks;purpur;
purpur_slab;slab;stone;bricks;purpur;
purpur_pillar;log;stone;bricks;purpur;
iron_block;natural;metal;processed;metal;
iron_bars;pane;metal;processed;metal;
emerald_block;natural;stone;processed;gemstone;
lapis_block;natural;stone;processed;gemstone;
diamond_block;natural;stone;processed;gemstone;
quartz_block;natural;stone;natural;quartz;
quartz_stairs;stairs;stone;natural;quartz;
quartz_slab;slab;stone;natural;quartz;
chiseled_quartz_block;chiseled;stone;natural;quartz;
smooth_quartz;natural;stone;polished;quartz;
smooth_quartz_stairs;stairs;stone;polished;quartz;
smooth_quartz_slab;slab;stone;polished;quartz;
quartz_bricks;natural;stone;bricks;quartz;
quartz_pillar;log;stone;bricks;quartz;
amethyst_block;natural;stone;natural;gemstone;
waxed_copper_block;natural;metal;processed;copper;
waxed_chiseled_copper;chiseled;metal;processed;copper;
waxed_copper_grate;pane;metal;processed;copper;
waxed_cut_copper;natural;metal;bricks;copper;
waxed_cut_copper_stairs;stairs;metal;bricks;copper;
waxed_cut_copper_slab;slab;metal;bricks;copper;
waxed_copper_door;door;metal;processed;copper;
waxed_copper_trapdoor;trapdoor;metal;processed;copper;
waxed_exposed_copper;natural;metal;processed;copper;
waxed_exposed_chiseled_copper;chiseled;metal;processed;copper;
waxed_exposed_copper_grate;pane;metal;processed;copper;
waxed_exposed_cut_copper;natural;metal;bricks;copper;
waxed_exposed_cut_copper_stairs;stairs;metal;bricks;copper;
waxed_exposed_cut_copper_slab;slab;metal;bricks;copper;
waxed_exposed_copper_door;door;metal;processed;copper;
waxed_exposed_copper_trapdoor;trapdoor;metal;processed;copper;
waxed_weathered_copper;natural;metal;processed;copper;
waxed_weathered_chiseled_copper;chiseled;metal;processed;copper;
waxed_weathered_copper_grate;pane;metal;processed;copper;
waxed_weathered_cut_copper;natural;metal;bricks;copper;
waxed_weathered_cut_copper_stairs;stairs;metal;bricks;copper;
waxed_weathered_cut_copper_slab;slab;metal;bricks;copper;
waxed_weathered_copper_door;door;metal;processed;copper;
waxed_weathered_copper_trapdoor;trapdoor;metal;processed;copper;
waxed_oxidized_copper;natural;metal;processed;copper;
waxed_oxidized_chiseled_copper;chiseled;metal;processed;copper;
waxed_oxidized_copper_grate;pane;metal;processed;copper;
waxed_oxidized_cut_copper;natural;metal;bricks;copper;
waxed_oxidized_cut_copper_stairs;stairs;metal;bricks;copper;
waxed_oxidized_cut_copper_slab;slab;metal;bricks;copper;
waxed_oxidized_copper_door;door;metal;processed;copper;
waxed_oxidized_copper_trapdoor;trapdoor;metal;processed;copper;
white_wool;colored;wool;processed;wool;
light_gray_wool;colored;wool;processed;wool;
gray_wool;colored;wool;processed;wool;
black_wool;colored;wool;processed;wool;
red_wool;colored;wool;processed;wool;
orange_wool;colored;wool;processed;wool;
yellow_wool;colored;wool;processed;wool;
lime_wool;colored;wool;processed;wool;
green_wool;colored;wool;processed;wool;
cyan_wool;colored;wool;processed;wool;
light_blue_wool;colored;wool;processed;wool;
blue_wool;colored;wool;processed;wool;
purple_wool;colored;wool;processed;wool;
magenta_wool;colored;wool;processed;wool;
pink_wool;colored;wool;processed;wool;
terracotta;natural;stone;processed;terracotta;
white_terracotta;colored;stone;processed;terracotta;
light_gray_terracotta;colored;stone;processed;terracotta;
gray_terracotta;colored;stone;processed;terracotta;
black_terracotta;colored;stone;processed;terracotta;
red_terracotta;colored;stone;processed;terracotta;
orange_terracotta;colored;stone;processed;terracotta;
yellow_terracotta;colored;stone;processed;terracotta;
lime_terracotta;colored;stone;processed;terracotta;
green_terracotta;colored;stone;processed;terracotta;
cyan_terracotta;colored;stone;processed;terracotta;
light_blue_terracotta;colored;stone;processed;terracotta;
blue_terracotta;colored;stone;processed;terracotta;
purple_terracotta;colored;stone;processed;terracotta;
magenta_terracotta;colored;stone;processed;terracotta;
pink_terracotta;colored;stone;processed;terracotta;
white_concrete;colored;stone;processed;concrete;
light_gray_concrete;colored;stone;processed;concrete;
gray_concrete;colored;stone;processed;concrete;
black_concrete;colored;stone;processed;concrete;
red_concrete;colored;stone;processed;concrete;
orange_concrete;colored;stone;processed;concrete;
yellow_concrete;colored;stone;processed;concrete;
lime_concrete;colored;stone;processed;concrete;
green_concrete;colored;stone;processed;concrete;
cyan_concrete;colored;stone;processed;concrete;
light_blue_concrete;colored;stone;processed;concrete;
blue_concrete;colored;stone;processed;concrete;
purple_concrete;colored;stone;processed;concrete;
magenta_concrete;colored;stone;processed;concrete;
pink_concrete;colored;stone;processed;concrete;
white_glazed_terracotta;colored;stone;processed;terracotta;
light_gray_glazed_terracotta;colored;stone;processed;terracotta;
gray_glazed_terracotta;colored;stone;processed;terracotta;
black_glazed_terracotta;colored;stone;processed;terracotta;
red_glazed_terracotta;colored;stone;processed;terracotta;
orange_glazed_terracotta;colored;stone;processed;terracotta;
yellow_glazed_terracotta;colored;stone;processed;terracotta;
lime_glazed_terracotta;colored;stone;processed;terracotta;
green_glazed_terracotta;colored;stone;processed;terracotta;
cyan_glazed_terracotta;colored;stone;processed;terracotta;
light_blue_glazed_terracotta;colored;stone;processed;terracotta;
blue_glazed_terracotta;colored;stone;processed;terracotta;
purple_glazed_terracotta;colored;stone;processed;terracotta;
magenta_glazed_terracotta;colored;stone;processed;terracotta;
pink_glazed_terracotta;colored;stone;processed;terracotta;
glass;natural;glass;processed;glass;
tinted_glass;natural;glass;processed;glass;
white_stained_glass;colored;glass;processed;glass;
light_gray_stained_glass;colored;glass;processed;glass;
gray_stained_glass;colored;glass;processed;glass;
black_stained_glass;colored;glass;processed;glass;
red_stained_glass;colored;glass;processed;glass;
orange_stained_glass;colored;glass;processed;glass;
yellow_stained_glass;colored;glass;processed;glass;
lime_stained_glass;colored;glass;processed;glass;
green_stained_glass;colored;glass;processed;glass;
cyan_stained_glass;colored;glass;processed;glass;
light_blue_stained_glass;colored;glass;processed;glass;
blue_stained_glass;colored;glass;processed;glass;
purple_stained_glass;colored;glass;processed;glass;
magenta_stained_glass;colored;glass;processed;glass;
pink_stained_glass;colored;glass;processed;glass;
glass_pane;pane;glass;processed;glass;
white_stained_glass_pane;pane;glass;processed;glass;
light_gray_stained_glass_pane;pane;glass;processed;glass;
gray_stained_glass_pane;pane;glass;processed;glass;
black_stained_glass_pane;pane;glass;processed;glass;
red_stained_glass_pane;pane;glass;processed;glass;
orange_stained_glass_pane;pane;glass;processed;glass;
yellow_stained_glass_pane;pane;glass;processed;glass;
lime_stained_glass_pane;pane;glass;processed;glass;
green_stained_glass_pane;pane;glass;processed;glass;
cyan_stained_glass_pane;pane;glass;processed;glass;
light_blue_stained_glass_pane;pane;glass;processed;glass;
blue_stained_glass_pane;pane;glass;processed;glass;
purple_stained_glass_pane;pane;glass;processed;glass;
magenta_stained_glass_pane;pane;glass;processed;glass;
pink_stained_glass_pane;pane;glass;processed;glass;
stripped_oak_log;log;wood;natural;oak;
stripped_spruce_log;log;wood;natural;spruce;
stripped_birch_log;log;wood;natural;birch;
stripped_jungle_log;log;wood;natural;jungle;
stripped_acacia_log;log;wood;natural;acacia;
stripped_dark_oak_log;log;wood;natural;dark_oak;
stripped_mangrove_log;log;wood;natural;mangrove;
stripped_cherry_log;log;wood;natural;cherry;
stripped_bamboo_block;log;wood;natural;bamboo;
stripped_crimson_stem;log;wood;natural;crimson;
stripped_warped_stem;log;wood;natural;warped;
glowstone;light;stone;natural;stone;
waxed_copper_bulb;light;metal;processed;copper;
waxed_exposed_copper_bulb;light;metal;processed;copper;
waxed_weathered_copper_bulb;light;metal;processed;copper;
waxed_oxidized_copper_bulb;light;metal;processed;copper;
