block,type,material,processing,categories,biome,r,g,b,a,hue
bamboo_fence_gate,gate,wood,processed,bamboo,,206.5,185.5,85.5,225.0,50
bamboo_door,door,wood,processed,bamboo,,195.5,175.0,83.0,225.5,49
bamboo_trapdoor,trapdoor,wood,processed,bamboo,,201.0,182.0,86.0,200.0,50
crimson_planks,natural,wood,processed,crimson,,101.0,49.0,71.0,255.0,335
crimson_stairs,stairs,wood,processed,crimson,,101.0,49.0,71.0,255.0,335
crimson_slab,slab,wood,processed,crimson,,101.0,49.0,71.0,255.0,335
crimson_fence,fence,wood,processed,crimson,,0.0,0.0,0.0,0.0,
crimson_stem,log,wood,natural,crimson,,103.5,38.5,51.5,255.0,348
crimson_fence_gate,gate,wood,processed,crimson,,101.0,49.0,71.0,255.0,335
crimson_door,door,wood,processed,crimson,,114.5,54.5,79.0,255.0,336
crimson_trapdoor,trapdoor,wood,processed,crimson,,104.0,50.0,72.0,207.0,336
warped_planks,natural,wood,processed,warped,,43.0,105.0,99.0,255.0,174
warped_stairs,stairs,wood,processed,warped,,43.0,105.0,99.0,255.0,174
warped_slab,slab,wood,processed,warped,,43.0,105.0,99.0,255.0,174
warped_fence,fence,wood,processed,warped,,0.0,0.0,0.0,0.0,
warped_stem,log,wood,natural,warped,,55.5,86.0,95.0,255.0,194
warped_fence_gate,gate,wood,processed,warped,,43.0,105.0,99.0,255.0,174
warped_door,door,wood,processed,warped,,44.0,122.5,116.0,255.0,175
warped_trapdoor,trapdoor,wood,processed,warped,,47.0,122.0,113.0,188.0,173
stone,natural,stone,natural,stone,,126.0,126.0,126.0,255.0,0
stone_stairs,stairs,stone,natural,stone,,126.0,126.0,126.0,255.0,0
stone_slab,slab,stone,natural,stone,,126.0,126.0,126.0,255.0,0
cobblestone,natural,stone,natural,stone,,128.0,127.0,127.0,255.0,0
cobblestone_stairs,stairs,stone,natural,stone,,128.0,127.0,127.0,255.0,0
cobblestone_slab,slab,stone,natural,stone,,128.0,127.0,127.0,255.0,0
cobblestone_wall,fence,stone,natural,stone,,0.0,0.0,0.0,0.0,
mossy_cobblestone,natural,stone,natural,stone,,109.0,118.0,93.0,255.0,82
mossy_cobblestone_stairs,stairs,stone,natural,stone,,109.0,118.0,93.0,255.0,82
mossy_cobblestone_slab,slab,stone,natural,stone,,109.0,118.0,93.0,255.0,82
mossy_cobblestone_wall,fence,stone,natural,stone,,0.0,0.0,0.0,0.0,
smooth_stone,natural,stone,polished,stone,,161.0,161.0,161.0,255.0,0
smooth_stone_slab,slab,stone,polished,stone,,163.33333333333334,163.33333333333334,163.33333333333334,255.0,0
stone_bricks,natural,stone,bricks,stone,,122.0,122.0,122.0,255.0,0
stone_brick_stairs,stairs,stone,bricks,stone,,122.0,122.0,122.0,255.0,0
stone_brick_slab,slab,stone,bricks,stone,,122.0,122.0,122.0,255.0,0
stone_brick_wall,fence,stone,bricks,stone,,0.0,0.0,0.0,0.0,
chiseled_stone_bricks,chiseled,stone,bricks,stone,,120.0,119.0,120.0,255.0,300
granite,natural,stone,natural,granite,,149.0,103.0,86.0,255.0,16
granite_stairs,stairs,stone,natural,granite,,149.0,103.0,86.0,255.0,16
granite_slab,slab,stone,natural,granite,,149.0,103.0,86.0,255.0,16
granite_wall,fence,stone,natural,granite,,0.0,0.0,0.0,0.0,
polished_granite,natural,stone,polished,granite,,155.0,107.0,89.0,255.0,16
polished_granite_stairs,stairs,stone,polished,granite,,155.0,107.0,89.0,255.0,16
polished_granite_slab,slab,stone,polished,granite,,155.0,107.0,89.0,255.0,16
diorite,natural,stone,natural,diorite,,189.0,189.0,190.0,255.0,240
diorite_stairs,stairs,stone,natural,diorite,,189.0,189.0,190.0,255.0,240
diorite_slab,slab,stone,natural,diorite,,189.0,189.0,190.0,255.0,240
diorite_wall,fence,stone,natural,diorite,,0.0,0.0,0.0,0.0,
polished_diorite,natural,stone,polished,diorite,,195.0,195.0,197.0,255.0,240
polished_diorite_stairs,stairs,stone,polished,diorite,,195.0,195.0,197.0,255.0,240
polished_diorite_slab,slab,stone,polished,diorite,,195.0,195.0,197.0,255.0,240
andesite,natural,stone,natural,andesite,,136.0,136.0,137.0,255.0,240
andesite_stairs,stairs,stone,natural,andesite,,136.0,136.0,137.0,255.0,240
andesite_slab,slab,stone,natural,andesite,,136.0,136.0,137.0,255.0,240
andesite_wall,fence,stone,natural,andesite,,0.0,0.0,0.0,0.0,
polished_andesite,natural,stone,polished,andesite,,132.0,135.0,134.0,255.0,160
polished_andesite_stairs,stairs,stone,polished,andesite,,132.0,135.0,134.0,255.0,160
polished_andesite_slab,slab,stone,polished,andesite,,132.0,135.0,134.0,255.0,160
cobbled_deepslate,natural,stone,natural,deepslate,,77.0,77.0,80.0,255.0,240
cobbled_deepslate_stairs,stairs,stone,natural,deepslate,,77.0,77.0,80.0,255.0,240
cobbled_deepslate_slab,slab,stone,natural,deepslate,,77.0,77.0,80.0,255.0,240
cobbled_deepslate_wall,fence,stone,natural,deepslate,,0.0,0.0,0.0,0.0,
chiseled_deepslate,chiseled,stone,bricks,deepslate,,55.0,55.0,56.0,255.0,240
polished_deepslate,natural,stone,polished,deepslate,,72.0,72.0,73.0,255.0,240
polished_deepslate_stairs,stairs,stone,polished,deepslate,,72.0,72.0,73.0,255.0,240
polished_deepslate_slab,slab,stone,polished,deepslate,,72.0,72.0,73.0,255.0,240
polished_deepslate_wall,fence,stone,polished,deepslate,,0.0,0.0,0.0,0.0,
deepslate_bricks,natural,stone,bricks,deepslate,,71.0,71.0,71.0,255.0,0
deepslate_brick_stairs,stairs,stone,bricks,deepslate,,71.0,71.0,71.0,255.0,0
deepslate_brick_slab,slab,stone,bricks,deepslate,,71.0,71.0,71.0,255.0,0
deepslate_brick_wall,fence,stone,bricks,deepslate,,0.0,0.0,0.0,0.0,
deepslate_tiles,natural,stone,bricks,deepslate,,56.0,55.0,56.0,255.0,300
deepslate_tile_stairs,stairs,stone,bricks,deepslate,,56.0,55.0,56.0,255.0,300
deepslate_tile_slab,slab,stone,bricks,deepslate,,56.0,55.0,56.0,255.0,300
deepslate_tile_wall,fence,stone,bricks,deepslate,,0.0,0.0,0.0,0.0,
tuff,natural,stone,natural,tuff,,109.0,109.0,103.0,255.0,60
tuff_stairs,stairs,stone,natural,tuff,,109.0,109.0,103.0,255.0,60
tuff_slab,slab,stone,natural,tuff,,109.0,109.0,103.0,255.0,60
tuff_wall,fence,stone,natural,tuff,,0.0,0.0,0.0,0.0,
chiseled_tuff,chiseled,stone,bricks,tuff,,90.0,95.0,88.0,255.0,103
polished_tuff,natural,stone,polished,tuff,,98.0,104.0,100.0,255.0,140
polished_tuff_stairs,stairs,stone,polished,tuff,,98.0,104.0,100.0,255.0,140
polished_tuff_slab,slab,stone,polished,tuff,,98.0,104.0,100.0,255.0,140
polished_tuff_wall,fence,stone,polished,tuff,,0.0,0.0,0.0,0.0,
tuff_bricks,natural,stone,bricks,tuff,,98.0,103.0,95.0,255.0,97
tuff_brick_stairs,stairs,stone,bricks,tuff,,98.0,103.0,95.0,255.0,97
tuff_brick_slab,slab,stone,bricks,tuff,,98.0,103.0,95.0,255.0,97
tuff_brick_wall,fence,stone,bricks,tuff,,0.0,0.0,0.0,0.0,
chiseled_tuff_bricks,chiseled,stone,bricks,tuff,,105.0,109.0,101.0,255.0,90
bricks,natural,stone,bricks,bricks,,151.0,97.0,83.0,255.0,12
brick_stairs,stairs,stone,bricks,bricks,,151.0,97.0,83.0,255.0,12
brick_slab,slab,stone,bricks,bricks,,151.0,97.0,83.0,255.0,12
brick_wall,fence,stone,bricks,bricks,,0.0,0.0,0.0,0.0,
mud_bricks,natural,stone,bricks,mud_bricks,,137.0,104.0,79.0,255.0,26
mud_brick_stairs,stairs,stone,bricks,mud_bricks,,137.0,104.0,79.0,255.0,26
mud_brick_slab,slab,stone,bricks,mud_bricks,,137.0,104.0,79.0,255.0,26
mud_brick_wall,fence,stone,bricks,mud_bricks,,0.0,0.0,0.0,0.0,
resin_bricks,natural,stone,bricks,resin_bricks,,206.0,89.0,24.0,255.0,21
resin_brick_stairs,stairs,stone,bricks,resin_bricks,,206.0,89.0,24.0,255.0,21
resin_brick_slab,slab,stone,bricks,resin_bricks,,206.0,89.0,24.0,255.0,21
resin_brick_wall,fence,stone,bricks,resin_bricks,,0.0,0.0,0.0,0.0,
chiseled_resin_bricks,chiseled,stone,bricks,resin_bricks,,201.0,85.0,25.0,255.0,20
sandstone,natural,stone,natural,sandstone,,218.66666666666666,206.33333333333334,160.33333333333334,255.0,47
sandstone_stairs,stairs,stone,natural,sandstone,,218.66666666666666,206.33333333333334,160.33333333333334,255.0,47
sandstone_slab,slab,stone,natural,sandstone,,218.66666666666666,206.33333333333334,160.33333333333334,255.0,47
sandstone_wall,fence,stone,natural,sandstone,,0.0,0.0,0.0,0.0,
chiseled_sandstone,chiseled,stone,natural,sandstone,,220.0,208.5,162.5,255.0,48
smooth_sandstone,natural,stone,polished,sandstone,,224.0,214.0,170.0,255.0,49
smooth_sandstone_stairs,stairs,stone,polished,sandstone,,224.0,214.0,170.0,255.0,49
smooth_sandstone_slab,slab,stone,polished,sandstone,,224.0,214.0,170.0,255.0,49
cut_sandstone,natural,stone,polished,sandstone,,221.0,210.5,165.0,255.0,49
cut_sandstone_slab,slab,stone,polished,sandstone,,222.0,211.66666666666666,166.66666666666666,255.0,49
red_sandstone,natural,stone,natural,sandstone,,184.66666666666666,98.66666666666667,30.0,255.0,27
red_sandstone_stairs,stairs,stone,natural,sandstone,,184.66666666666666,98.66666666666667,30.0,255.0,27
red_sandstone_slab,slab,stone,natural,sandstone,,184.66666666666666,98.66666666666667,30.0,255.0,27
red_sandstone_wall,fence,stone,natural,sandstone,,0.0,0.0,0.0,0.0,
chiseled_red_sandstone,chiseled,stone,natural,sandstone,,182.0,97.0,29.5,255.0,27
smooth_red_sandstone,natural,stone,polished,sandstone,,181.0,98.0,32.0,255.0,27
smooth_red_sandstone_stairs,stairs,stone,polished,sandstone,,181.0,98.0,32.0,255.0,27
smooth_red_sandstone_slab,slab,stone,polished,sandstone,,181.0,98.0,32.0,255.0,27
cut_red_sandstone,natural,stone,polished,sandstone,,185.5,100.0,32.0,255.0,27
cut_red_sandstone_slab,slab,stone,polished,sandstone,,184.0,99.33333333333333,32.0,255.0,27
prismarine,natural,stone,natural,prismarine,,99.0,156.0,150.0,255.0,174
prismarine_stairs,stairs,stone,natural,prismarine,,99.0,156.0,150.0,255.0,174
prismarine_slab,slab,stone,natural,prismarine,,99.0,156.0,150.0,255.0,174
prismarine_wall,fence,stone,natural,prismarine,,0.0,0.0,0.0,0.0,
prismarine_bricks,natural,stone,bricks,prismarine,,100.0,172.0,159.0,255.0,169
prismarine_brick_stairs,stairs,stone,bricks,prismarine,,100.0,172.0,159.0,255.0,169
prismarine_brick_slab,slab,stone,bricks,prismarine,,100.0,172.0,159.0,255.0,169
dark_prismarine,natural,stone,bricks,prismarine,,52.0,92.0,76.0,255.0,156
dark_prismarine_stairs,stairs,stone,bricks,prismarine,,52.0,92.0,76.0,255.0,156
dark_prismarine_slab,slab,stone,bricks,prismarine,,52.0,92.0,76.0,255.0,156
nether_bricks,natural,stone,bricks,nether_bricks,,44.0,22.0,26.0,255.0,349
nether_brick_stairs,stairs,stone,bricks,nether_bricks,,44.0,22.0,26.0,255.0,349
nether_brick_slab,slab,stone,bricks,nether_bricks,,44.0,22.0,26.0,255.0,349
nether_brick_wall,fence,stone,bricks,nether_bricks,,0.0,0.0,0.0,0.0,
chiseled_nether_bricks,chiseled,stone,bricks,nether_bricks,,46.0,23.0,28.0,255.0,347
red_nether_bricks,natural,stone,bricks,nether_bricks,,69.0,7.0,9.0,255.0,358
red_nether_brick_stairs,stairs,stone,bricks,nether_bricks,,69.0,7.0,9.0,255.0,358
red_nether_brick_slab,slab,stone,bricks,nether_bricks,,69.0,7.0,9.0,255.0,358
red_nether_brick_wall,fence,stone,bricks,nether_bricks,,0.0,0.0,0.0,0.0,
basalt,natural,stone,natural,basalt,,77.0,77.5,82.5,255.0,235
smooth_basalt,natural,stone,polished,basalt,,72.0,72.0,78.0,255.0,240
polished_basalt,log,stone,polished,basalt,,96.5,95.5,98.0,255.0,264
blackstone,natural,stone,natural,blackstone,,42.0,35.5,41.5,255.0,305
blackstone_stairs,stairs,stone,natural,blackstone,,42.0,35.666666666666664,41.666666666666664,255.0,303
blackstone_slab,slab,stone,natural,blackstone,,42.0,35.666666666666664,41.666666666666664,255.0,303
blackstone_wall,fence,stone,natural,blackstone,,0.0,0.0,0.0,0.0,
polished_blackstone,natural,stone,polished,blackstone,,53.0,49.0,57.0,255.0,270
polished_blackstone_stairs,stairs,stone,polished,blackstone,,53.0,49.0,57.0,255.0,270
polished_blackstone_slab,slab,stone,polished,blackstone,,53.0,49.0,57.0,255.0,270
polished_blackstone_wall,fence,stone,polished,blackstone,,0.0,0.0,0.0,0.0,
chiseled_polished_blackstone,chiseled,,polished,blackstone,,54.0,49.0,58.0,255.0,273
polished_blackstone_bricks,natural,stone,bricks,blackstone,,48.0,43.0,50.0,255.0,283
polished_blackstone_brick_stairs,stairs,stone,bricks,blackstone,,48.0,43.0,50.0,255.0,283
polished_blackstone_brick_slab,slab,stone,bricks,blackstone,,48.0,43.0,50.0,255.0,283
polished_blackstone_brick_wall,fence,stone,bricks,blackstone,,0.0,0.0,0.0,0.0,
end_stone_bricks,natural,stone,bricks,end_stone,,219.0,224.0,162.0,255.0,65
end_stone_brick_stairs,stairs,stone,bricks,end_stone,,219.0,224.0,162.0,255.0,65
end_stone_brick_slab,slab,stone,bricks,end_stone,,219.0,224.0,162.0,255.0,65
end_stone_brick_wall,fence,stone,bricks,end_stone,,0.0,0.0,0.0,0.0,
purpur_block,natural,stone,bricks,purpur,,170.0,126.0,170.0,255.0,300
purpur_stairs,stairs,stone,bricks,purpur,,170.0,126.0,170.0,255.0,300
purpur_slab,slab,stone,bricks,purpur,,170.0,126.0,170.0,255.0,300
purpur_pillar,log,stone,bricks,purpur,,171.5,128.0,171.5,255.0,300
iron_block,natural,metal,processed,metal,,222.0,222.0,222.0,255.0,0
iron_bars,pane,metal,processed,metal,,0.0,0.0,0.0,0.0,
emerald_block,natural,stone,processed,gemstone,,43.0,206.0,90.0,255.0,137
lapis_block,natural,stone,processed,gemstone,,31.0,67.0,140.0,255.0,220
diamond_block,natural,stone,processed,gemstone,,101.0,239.0,229.0,255.0,176
quartz_block,natural,stone,natural,quartz,,236.0,230.0,223.0,255.0,32
quartz_stairs,stairs,stone,natural,quartz,,236.0,230.0,223.0,255.0,32
quartz_slab,slab,stone,natural,quartz,,236.0,230.0,223.0,255.0,32
chiseled_quartz_block,chiseled,stone,natural,quartz,,232.0,227.0,218.0,255.0,39
smooth_quartz,natural,stone,polished,quartz,,237.0,230.0,224.0,255.0,28
smooth_quartz_stairs,stairs,stone,polished,quartz,,237.0,230.0,224.0,255.0,28
smooth_quartz_slab,slab,stone,polished,quartz,,237.0,230.0,224.0,255.0,28
quartz_bricks,natural,stone,bricks,quartz,,235.0,229.0,222.0,255.0,32
quartz_pillar,log,stone,bricks,quartz,,236.0,230.5,224.0,255.0,32
amethyst_block,natural,stone,natural,gemstone,,134.0,98.0,191.0,255.0,263
waxed_copper_block,natural,metal,processed,copper,,193.0,108.0,79.0,255.0,15
waxed_chiseled_copper,chiseled,metal,processed,copper,,183.0,100.0,73.0,255.0,15
waxed_copper_grate,pane,metal,processed,copper,,192.0,107.0,79.0,171.0,15
waxed_cut_copper,natural,metal,bricks,copper,,191.0,107.0,81.0,255.0,14
waxed_cut_copper_stairs,stairs,metal,bricks,copper,,191.0,107.0,81.0,255.0,14
waxed_cut_copper_slab,slab,metal,bricks,copper,,191.0,107.0,81.0,255.0,14
waxed_copper_door,door,metal,processed,copper,,186.0,106.0,79.0,226.0,15
waxed_copper_trapdoor,trapdoor,metal,processed,copper,,190.0,105.0,78.0,191.0,14
waxed_exposed_copper,natural,metal,processed,copper,,161.0,126.0,104.0,255.0,23
waxed_exposed_chiseled_copper,chiseled,metal,processed,copper,,154.0,119.0,100.0,255.0,21
waxed_exposed_copper_grate,pane,metal,processed,copper,,162.0,125.0,104.0,171.0,22
waxed_exposed_cut_copper,natural,metal,bricks,copper,,155.0,122.0,101.0,255.0,23
waxed_exposed_cut_copper_stairs,stairs,metal,bricks,copper,,155.0,122.0,101.0,255.0,23
waxed_exposed_cut_copper_slab,slab,metal,bricks,copper,,155.0,122.0,101.0,255.0,23
waxed_exposed_copper_door,door,metal,processed,copper,,158.0,120.0,103.5,226.0,18
waxed_exposed_copper_trapdoor,trapdoor,metal,processed,copper,,161.0,125.0,104.0,191.0,22
waxed_weathered_copper,natural,metal,processed,copper,,108.0,154.0,111.0,255.0,124
waxed_weathered_chiseled_copper,chiseled,metal,processed,copper,,105.0,150.0,110.0,255.0,127
waxed_weathered_copper_grate,pane,metal,processed,copper,,105.0,153.0,110.0,171.0,126
waxed_weathered_cut_copper,natural,metal,bricks,copper,,109.0,145.0,107.0,255.0,117
waxed_weathered_cut_copper_stairs,stairs,metal,bricks,copper,,109.0,145.0,107.0,255.0,117
waxed_weathered_cut_copper_slab,slab,metal,bricks,copper,,109.0,145.0,107.0,255.0,117
waxed_weathered_copper_door,door,metal,processed,copper,,109.0,147.0,105.0,226.0,114
waxed_weathered_copper_trapdoor,trapdoor,metal,processed,copper,,109.0,154.0,110.0,191.0,121
waxed_oxidized_copper,natural,metal,processed,copper,,83.0,164.0,134.0,255.0,158
waxed_oxidized_chiseled_copper,chiseled,metal,processed,copper,,83.0,161.0,132.0,255.0,158
waxed_oxidized_copper_grate,pane,metal,processed,copper,,82.0,162.0,132.0,171.0,158
waxed_oxidized_cut_copper,natural,metal,bricks,copper,,80.0,154.0,127.0,255.0,158
waxed_oxidized_cut_copper_stairs,stairs,metal,bricks,copper,,80.0,154.0,127.0,255.0,158
waxed_oxidized_cut_copper_slab,slab,metal,bricks,copper,,80.0,154.0,127.0,255.0,158
waxed_oxidized_copper_door,door,metal,processed,copper,,80.5,157.0,130.5,226.0,159
waxed_oxidized_copper_trapdoor,trapdoor,metal,processed,copper,,84.0,162.0,133.0,191.0,158
white_wool,colored,wool,processed,wool,,234.0,236.0,237.0,255.0,200
light_gray_wool,colored,wool,processed,wool,,142.0,142.0,135.0,255.0,60
gray_wool,colored,wool,processed,wool,,63.0,68.0,72.0,255.0,207
black_wool,colored,wool,processed,wool,,21.0,21.0,26.0,255.0,240
red_wool,colored,wool,processed,wool,,161.0,39.0,35.0,255.0,2
orange_wool,colored,wool,processed,wool,,241.0,118.0,20.0,255.0,27
yellow_wool,colored,wool,processed,wool,,249.0,198.0,40.0,255.0,45
lime_wool,colored,wool,processed,wool,,112.0,185.0,26.0,255.0,88
green_wool,colored,wool,processed,wool,,85.0,110.0,27.0,255.0,78
cyan_wool,colored,wool,processed,wool,,21.0,138.0,145.0,255.0,183
light_blue_wool,colored,wool,processed,wool,,58.0,175.0,217.0,255.0,196
blue_wool,colored,wool,processed,wool,,53.0,57.0,157.0,255.0,238
purple_wool,colored,wool,processed,wool,,122.0,42.0,173.0,255.0,277
magenta_wool,colored,wool,processed,wool,,189.0,69.0,180.0,255.0,304
pink_wool,colored,wool,processed,wool,,238.0,141.0,173.0,255.0,340
terracotta,natural,stone,processed,terracotta,,152.0,94.0,68.0,255.0,19
white_terracotta,colored,stone,processed,terracotta,,210.0,178.0,161.0,255.0,21
light_gray_terracotta,colored,stone,processed,terracotta,,135.0,107.0,98.0,255.0,15
gray_terracotta,colored,stone,processed,terracotta,,58.0,42.0,36.0,255.0,16
black_terracotta,colored,stone,processed,terracotta,,37.0,23.0,16.0,255.0,20
red_terracotta,colored,stone,processed,terracotta,,143.0,61.0,47.0,255.0,9
orange_terracotta,colored,stone,processed,terracotta,,162.0,84.0,38.0,255.0,22
yellow_terracotta,colored,stone,processed,terracotta,,186.0,133.0,35.0,255.0,39
lime_terracotta,colored,stone,processed,terracotta,,103.0,118.0,53.0,255.0,74
green_terracotta,colored,stone,processed,terracotta,,76.0,83.0,42.0,255.0,70
cyan_terracotta,colored,stone,processed,terracotta,,87.0,91.0,91.0,255.0,180
light_blue_terracotta,colored,stone,processed,terracotta,,114.0,109.0,138.0,255.0,250
blue_terracotta,colored,stone,processed,terracotta,,74.0,60.0,91.0,255.0,267
purple_terracotta,colored,stone,processed,terracotta,,118.0,70.0,86.0,255.0,340
magenta_terracotta,colored,stone,processed,terracotta,,150.0,88.0,109.0,255.0,340
pink_terracotta,colored,stone,processed,terracotta,,162.0,78.0,79.0,255.0,359
white_concrete,colored,stone,processed,concrete,,207.0,213.0,214.0,255.0,189
light_gray_concrete,colored,stone,processed,concrete,,125.0,125.0,115.0,255.0,60
gray_concrete,colored,stone,processed,concrete,,55.0,58.0,62.0,255.0,214
black_concrete,colored,stone,processed,concrete,,8.0,10.0,15.0,255.0,223
red_concrete,colored,stone,processed,concrete,,142.0,33.0,33.0,255.0,0
orange_concrete,colored,stone,processed,concrete,,224.0,97.0,1.0,255.0,26
yellow_concrete,colored,stone,processed,concrete,,241.0,175.0,21.0,255.0,42
lime_concrete,colored,stone,processed,concrete,,94.0,169.0,25.0,255.0,91
green_concrete,colored,stone,processed,concrete,,73.0,91.0,36.0,255.0,80
cyan_concrete,colored,stone,processed,concrete,,21.0,119.0,136.0,255.0,189
light_blue_concrete,colored,stone,processed,concrete,,36.0,137.0,199.0,255.0,203
blue_concrete,colored,stone,processed,concrete,,45.0,47.0,143.0,255.0,239
purple_concrete,colored,stone,processed,concrete,,100.0,32.0,156.0,255.0,273
magenta_concrete,colored,stone,processed,concrete,,169.0,48.0,159.0,255.0,305
pink_concrete,colored,stone,processed,concrete,,214.0,101.0,143.0,255.0,338
white_glazed_terracotta,colored,stone,processed,terracotta,,185.0,211.0,206.0,255.0,168
light_gray_glazed_terracotta,colored,stone,processed,terracotta,,145.0,167.0,169.0,255.0,185
